time, lambda, packet_interval
0.000, 9.930, 100.000
21364.442, 9.767, 102.000
21467.516, 9.620, 103.000
21571.769, 9.388, 106.000
21678.906, 8.979, 111.000
21791.122, 8.611, 116.000
21908.566, 8.180, 122.000
22031.955, 7.692, 129.000
22161.940, 7.253, 137.000
22300.171, 6.758, 147.000
22448.481, 6.312, 158.000
22607.730, 5.711, 175.000
22784.143, 5.170, 193.000
22978.453, 4.583, 218.000
23197.708, 4.054, 246.000
23445.138, 3.579, 279.000
23725.212, 3.151, 317.000
24043.626, 2.766, 361.000
24405.986, 2.419, 413.000
24820.402, 2.107, 474.000
25295.940, 1.927, 519.000
25816.610, 1.764, 566.000
26383.769, 1.818, 550.000
26935.182, 1.966, 508.000
27444.617, 2.199, 454.000
27899.758, 2.409, 415.000
28316.277, 2.598, 384.000
28701.395, 2.869, 348.000
29050.645, 3.112, 321.000
29373.027, 3.331, 300.000
29674.438, 3.527, 283.000
29958.529, 3.705, 269.000
30228.811, 3.864, 258.000
30487.921, 3.908, 255.000
30744.041, 3.947, 253.000
30998.436, 3.982, 251.000
31250.886, 4.014, 249.000
31500.886, 4.043, 247.000
31749.042, 3.968, 251.000
32001.487, 3.902, 256.000
32258.487, 3.841, 260.000
32519.859, 3.787, 264.000
32785.021, 3.739, 267.000
33053.279, 3.695, 270.000
33324.692, 3.555, 281.000
33606.856, 3.430, 291.000
33899.253, 3.317, 301.000
34201.476, 3.215, 311.000
34513.772, 3.124, 320.000
34834.760, 3.041, 328.000
35164.448, 2.967, 337.000
35502.511, 2.900, 344.000
35847.921, 2.840, 352.000
36201.077, 2.886, 346.000
36548.267, 2.928, 341.000
36890.240, 2.965, 337.000
37228.472, 2.998, 333.000
37562.428, 3.029, 330.000
37893.458, 3.056, 327.000
38221.668, 3.080, 324.000
38547.032, 3.102, 322.000
38870.466, 3.122, 320.000
39191.858, 3.140, 318.000
39510.826, 3.156, 316.000
39828.286, 3.170, 315.000
40144.746, 3.183, 314.000
40460.313, 3.195, 313.000
40774.541, 3.205, 311.000
41086.968, 3.215, 311.000
41399.134, 3.223, 310.000
41710.667, 3.231, 309.000
42021.147, 3.238, 308.000
42330.422, 3.244, 308.000
42639.689, 3.250, 307.000
42948.100, 3.255, 307.000
43256.386, 3.259, 306.000
43563.405, 3.263, 306.000
43870.347, 3.267, 306.000
44177.725, 3.270, 305.000
44484.030, 3.273, 305.000
44790.165, 3.276, 305.000
45096.503, 3.278, 305.000
45402.736, 3.281, 304.000
45708.242, 3.282, 304.000
46013.477, 3.284, 304.000
46318.721, 3.286, 304.000
46624.125, 3.287, 304.000
46929.357, 3.288, 304.000
47234.428, 3.290, 303.000
47538.626, 3.291, 303.000
47843.119, 3.292, 303.000
48147.311, 3.292, 303.000
48451.558, 3.293, 303.000
48755.952, 3.294, 303.000
49060.251, 3.294, 303.000
49364.490, 3.295, 303.000
49668.635, 3.296, 303.000
49972.794, 3.296, 303.000
50277.176, 3.296, 303.000
50580.996, 3.297, 303.000
50885.429, 3.297, 303.000
51189.627, 3.197, 312.000
51502.880, 3.108, 321.000
51824.970, 3.127, 319.000
52145.208, 3.144, 318.000
52464.318, 3.160, 316.000
52781.514, 3.174, 315.000
53097.764, 3.186, 313.000
53411.945, 3.198, 312.000
53725.456, 3.208, 311.000
54037.563, 3.217, 310.000
54349.012, 3.225, 310.000
54660.179, 3.233, 309.000
54970.411, 3.240, 308.000
55279.750, 3.246, 308.000
55588.930, 3.251, 307.000
55897.068, 3.256, 307.000
56205.374, 3.260, 306.000
56512.829, 3.164, 316.000
56830.063, 3.178, 314.000
57145.459, 3.190, 313.000
57459.652, 3.201, 312.000
57772.887, 3.211, 311.000
58084.853, 3.220, 310.000
58396.173, 3.228, 309.000
58706.120, 3.235, 309.000
59016.510, 3.142, 318.000
59335.722, 3.157, 316.000
59652.845, 3.172, 315.000
59968.731, 3.185, 314.000
60283.679, 3.196, 312.000
60596.913, 3.206, 311.000
60909.142, 3.216, 310.000
61220.371, 3.224, 310.000
61531.351, 3.232, 309.000
61841.610, 3.239, 308.000
62150.782, 3.245, 308.000
62460.098, 3.150, 317.000
62778.291, 3.165, 315.000
63094.277, 3.179, 314.000
63409.372, 3.191, 313.000
63723.589, 3.202, 312.000
64036.859, 3.212, 311.000
64349.091, 3.220, 310.000
64660.305, 3.228, 309.000
64970.846, 3.236, 309.000
65281.009, 3.242, 308.000
65590.458, 3.148, 317.000
65908.792, 3.163, 316.000
66225.928, 3.177, 314.000
66541.058, 3.189, 313.000
66855.031, 3.200, 312.000
67167.933, 3.210, 311.000
67479.859, 3.219, 310.000
67790.931, 3.227, 309.000
68101.064, 3.234, 309.000
68411.184, 3.241, 308.000
68720.635, 3.247, 307.000
69029.005, 3.152, 317.000
69346.904, 3.167, 315.000
69663.404, 3.180, 314.000
69978.480, 3.192, 313.000
70292.450, 3.203, 312.000
70605.741, 3.213, 311.000
70917.911, 3.221, 310.000
71229.169, 3.229, 309.000
71539.442, 3.236, 308.000
71848.756, 3.143, 318.000
72167.883, 3.158, 316.000
72485.042, 3.173, 315.000
72801.102, 3.185, 313.000
73115.202, 3.197, 312.000
73428.435, 3.207, 311.000
73740.544, 3.216, 310.000
74051.645, 3.225, 310.000
74362.854, 3.232, 309.000
74673.168, 3.239, 308.000
74982.150, 3.245, 308.000
75291.486, 3.151, 317.000
75609.821, 3.166, 315.000
75925.957, 3.179, 314.000
76241.019, 3.191, 313.000
76555.091, 3.202, 312.000
76868.268, 3.212, 311.000
77179.993, 3.221, 310.000
77490.963, 3.229, 309.000
77801.108, 3.236, 309.000
78111.162, 3.242, 308.000
78420.693, 3.148, 317.000
78738.574, 3.163, 316.000
79055.799, 3.177, 314.000
79371.032, 3.189, 313.000
79685.287, 3.200, 312.000
79997.928, 3.210, 311.000
80309.897, 3.219, 310.000
80620.869, 3.227, 309.000
80931.105, 3.235, 309.000
81241.309, 3.241, 308.000
81551.394, 3.147, 317.000
81869.745, 3.162, 316.000
82186.518, 3.176, 314.000
82501.829, 3.188, 313.000
82816.059, 3.200, 312.000
83129.261, 3.210, 311.000
83441.467, 3.219, 310.000
83752.656, 3.227, 309.000
84063.077, 3.234, 309.000
84373.320, 3.241, 308.000
84682.564, 3.147, 317.000
85001.017, 3.162, 316.000
85318.238, 3.176, 314.000
85633.425, 3.188, 313.000
85947.648, 3.199, 312.000
86260.742, 3.209, 311.000
86572.998, 3.219, 310.000
86884.171, 3.227, 309.000
87194.002, 3.234, 309.000
87504.281, 3.241, 308.000
87814.071, 3.247, 308.000
88123.150, 3.152, 317.000
88441.283, 3.167, 315.000
88757.556, 3.180, 314.000
89072.684, 3.192, 313.000
89386.465, 3.203, 312.000
89699.328, 3.213, 311.000
