time (ms), buffer_size
1712967259447.486, 4096
1712967259521.981, 8192
1712967259584.120, 12288
1712967259640.734, 12288
1712967259691.780, 16384
1712967259741.728, 20480
1712967259791.687, 24576
1712967259842.586, 28672
1712967259895.533, 32768
1712967259954.453, 32768
1712967260020.261, 36864
1712967260095.308, 40960
1712967260185.958, 45056
1712967260303.888, 45056
1712967260466.831, 49152
1712967260791.643, 49152
1712967264117.018, 8192
1712967264349.878, 8192
1712967264477.112, 12288
1712967264570.912, 16384
1712967264654.005, 16384
1712967264729.008, 20480
1712967264799.916, 24576
1712967264870.984, 28672
1712967264943.945, 32768
1712967265025.105, 32768
1712967265114.307, 36864
1712967265218.374, 40960
1712967265349.044, 40960
1712967265515.979, 45056
1712967265772.397, 45056
1712967266258.444, 40960
1712967267391.678, 32768
1712967268606.265, 20480
1712967268967.667, 20480
1712967269189.793, 20480
1712967269354.032, 20480
1712967269487.355, 24576
1712967269608.457, 28672
1712967269726.720, 28672
1712967269842.692, 32768
1712967269970.810, 32768
1712967270113.154, 36864
1712967270283.196, 36864
1712967270490.210, 40960
1712967270785.623, 40960
1712967271265.867, 36864
1712967271978.105, 32768
1712967272751.525, 28672
1712967273207.791, 24576
1712967273494.021, 24576
1712967273708.234, 28672
1712967273899.206, 28672
1712967274073.532, 28672
1712967274235.752, 32768
1712967274414.681, 32768
1712967274611.681, 36864
1712967274856.008, 36864
1712967275167.030, 36864
1712967275579.178, 36864
1712967276161.735, 32768
1712967276796.003, 28672
1712967277205.482, 24576
1712967277473.842, 28672
1712967277702.200, 28672
1712967277903.186, 28672
1712967278085.575, 32768
1712967278286.999, 32768
1712967278509.488, 32768
1712967278753.763, 32768
1712967279023.069, 36864
1712967279371.405, 32768
1712967279753.467, 32768
1712967280172.534, 32768
1712967280631.553, 28672
1712967280966.783, 28672
1712967281235.865, 28672
1712967281465.394, 32768
1712967281717.733, 32768
1712967281995.846, 32768
1712967282301.984, 32768
1712967282638.504, 32768
1712967283009.011, 32768
1712967283415.548, 32768
1712967283861.237, 28672
1712967284189.666, 28672
1712967284454.660, 28672
1712967284681.039, 28672
1712967284881.571, 32768
1712967285101.794, 32768
1712967285345.096, 32768
1712967285613.548, 36864
1712967285959.825, 32768
1712967286340.120, 32768
1712967286757.678, 32768
1712967287214.943, 28672
1712967287548.128, 28672
1712967287816.299, 28672
1712967288044.558, 32768
1712967288296.534, 32768
1712967288573.818, 32768
1712967288878.958, 32768
1712967289215.638, 32768
1712967289584.972, 32768
1712967289990.292, 32768
1712967290434.798, 28672
1712967290762.052, 28672
1712967291027.475, 28672
1712967291253.774, 28672
1712967291454.330, 32768
1712967291674.849, 32768
1712967291918.240, 32768
1712967292186.652, 36864
1712967292532.923, 32768
1712967292912.192, 32768
1712967293328.434, 32768
1712967293784.839, 28672
1712967294118.172, 28672
1712967294386.427, 28672
1712967294614.535, 32768
1712967294867.010, 32768
1712967295144.235, 32768
1712967295449.653, 32768
1712967295785.925, 32768
1712967296155.253, 32768
1712967296560.705, 32768
1712967297005.335, 28672
1712967297332.634, 28672
1712967297598.096, 28672
1712967297824.140, 28672
1712967298024.557, 32768
1712967298244.892, 32768
1712967298488.195, 32768
1712967298756.690, 36864
1712967299101.989, 32768
1712967299481.091, 32768
1712967299897.623, 32768
1712967300353.934, 28672
1712967300687.133, 28672
1712967300955.497, 28672
1712967301183.606, 32768
1712967301435.847, 32768
1712967301713.411, 32768
1712967302018.696, 32768
1712967302354.652, 32768
1712967302724.028, 32768
1712967303129.507, 32768
1712967303573.850, 28672
1712967303901.305, 28672
1712967304166.613, 28672
1712967304393.029, 32768
1712967304642.122, 32768
1712967304916.671, 32768
1712967305218.846, 32768
1712967305551.068, 32768
1712967305916.462, 32768
1712967306317.857, 28672
1712967306624.103, 28672
1712967306876.654, 32768
1712967307154.321, 32768
1712967307459.697, 32768
1712967307796.115, 32768
1712967308164.952, 28672
1712967308453.410, 32768
1712967308770.557, 32768
1712967309119.806, 28672
1712967309397.070, 32768
1712967309702.084, 32768
1712967310038.346, 28672
1712967310308.565, 32768
1712967310605.853, 32768
1712967310933.247, 32768
1712967311292.409, 28672
1712967311575.922, 32768
1712967311887.123, 32768
1712967312229.405, 28672
1712967312503.964, 32768
1712967312805.374, 32768
1712967313136.849, 32768
1712967313501.113, 28672
1712967313787.052, 28672
1712967314026.246, 32768
1712967314290.723, 32768
1712967314582.273, 32768
1712967314902.780, 32768
1712967315253.678, 32768
1712967315639.781, 32768
1712967316062.872, 28672
1712967316380.343, 28672
1712967316639.738, 28672
1712967316862.105, 32768
1712967317107.409, 32768
1712967317377.801, 32768
1712967317674.995, 32768
1712967318002.654, 32768
1712967318361.884, 32768
1712967318755.996, 32768
1712967319188.430, 28672
1712967319511.365, 28672
1712967319772.700, 28672
1712967319997.225, 32768
1712967320244.404, 32768
1712967320516.663, 32768
1712967320815.746, 32768
1712967321145.135, 32768
1712967321507.617, 32768
1712967321905.144, 32768
1712967322340.567, 28672
1712967322664.097, 28672
1712967322926.558, 28672
1712967323151.169, 32768
1712967323398.818, 32768
1712967323672.123, 32768
1712967323972.373, 32768
1712967324302.636, 32768
1712967324665.789, 32768
1712967325063.757, 28672
1712967325367.935, 28672
1712967325618.900, 32768
1712967325895.092, 32768
1712967326199.414, 32768
1712967326534.862, 32768
1712967326903.500, 32768
1712967327307.873, 28672
1712967327614.728, 27388
1712967327867.649, 27388
1712967327867.730, 27388
1712967327867.786, 27388
1712967327867.845, 27388
